如实描述	服务态度	物流服务	店铺	位置	付款人数	商品名称	价格	评价数	运费	标记
4.88	4.84	4.86	茵曼旗舰店	广东 广州	4250人付款	买2送1茵曼2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣	127.00	5085	38.00	天猫&
4.87	4.90	4.90	gzhmgzhm	广东 广州	89人付款	茵曼2017夏装新款文艺范小清新绣花亚麻衬衫白衬衣女上衣	127.00	256	10.00	企业卖家&7天退货&
4.86	4.84	4.82	茵曼筱茵专卖店	广东 广州	32人付款	茵曼旗舰店亚麻衬衫2017夏装新款小清新绣花棉麻短袖衬衣上衣寸衫	127.00	60	0.00	天猫&
4.88	4.87	4.86	茵曼唯音专卖店	广东 广州	0人付款	茵曼2017夏装新款文艺范小清新绣花亚麻衬衫衬衣女上衣1872013054	159.00	0	38.00	天猫&
4.82	4.83	4.83	alcansunny	广东 广州	0人付款	茵曼2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	127.00	2	0.00	7天退货&
4.88	4.87	4.86	茵曼慢生活专卖店	广东 广州	1人付款	茵曼2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	159.00	0	38.00	天猫&
4.87	4.83	4.83	茵曼风尚小生专卖店	广东 广州	205人付款	茵曼文艺范棉麻衬衣女夏2017新款小清新百搭短袖白衬衫亚麻女上衣	127.00	309	0.00	天猫&
4.86	4.83	4.83	茵曼田田极客专卖店	广东 广州	50人付款	茵曼旗舰店清仓2017夏装新款文艺绣花棉麻短袖衬衣衬衫女上衣	127.00	127	300.00	天猫&
4.88	4.84	4.84	茵曼一零一度专卖店	广东 广州	17人付款	茵曼旗舰店 2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣	127.00	32	100.00	天猫&
4.76	4.76	4.79	slhymf	广东 广州	0人付款	买2送1茵曼2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣	115.25	1	0.00	7天退货&
4.86	4.84	4.84	inman茵曼灵秀专卖店	广东 广州	3人付款	茵曼旗舰店棉麻女装衬衣2017夏新款刺绣亚麻短袖白衬衫女半袖上衣	127.00	5	0.00	天猫&
4.75	4.69	4.76	蓝精灵9608	广东 广州	2人付款	茵曼2017夏装新款文艺范小清新绣花亚麻衬衫白衬衣女上衣	159.00	3	500.00	5天内发货&7天退货&
4.78	4.72	4.83	中山一枝独秀	广东 广州	0人付款	茵曼2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	158.90	1	300.00	3天内发货&7天退货&
4.88	4.90	4.91	tiffly1229	广东 广州	0人付款	2017夏装新款文艺范绣花棉麻短袖衬衫女亚麻白衬衣1872013054	89.00	1	0.00	1天内发货&7天退货&
4.87	4.80	4.80	inman茵曼美佳合专卖店	广东 广州	3人付款	茵曼旗舰店2017夏装新款韩版亚麻寸衫上衣短袖衬衫棉麻宽松衬衣女	127.00	41	0.00	天猫&
4.83	4.88	4.88	齐乐融绒	广东 广州	0人付款	茵曼旗舰店2017夏装特价清仓文艺范绣花棉麻短袖衬衫女亚麻白衬衣	127.00	0	28.00	7天退货&
